Date,Open,High,Low,Close
06/01/2007,"1,536.34","1,540.56","1,530.62","1,536.34"
05/31/2007,"1,530.62","1,535.56","1,528.26","1,530.62"
05/30/2007,"1,530.23","1,530.23","1,510.06","1,530.23"
05/29/2007,"1,518.11","1,521.80","1,512.02","1,518.11"
05/25/2007,"1,515.73","1,517.41","1,507.50","1,515.73"
05/24/2007,"1,507.51","1,529.31","1,505.18","1,507.51"
05/23/2007,"1,522.28","1,532.43","1,521.90","1,522.28"
05/22/2007,"1,524.12","1,529.24","1,522.05","1,524.12"
05/21/2007,"1,525.10","1,529.87","1,522.71","1,525.10"
05/18/2007,"1,522.75","1,522.75","1,512.74","1,522.75"
05/17/2007,"1,512.75","1,517.14","1,509.29","1,512.75"
05/16/2007,"1,514.14","1,514.15","1,500.75","1,514.14"
05/15/2007,"1,501.19","1,514.83","1,500.43","1,501.19"
05/14/2007,"1,503.15","1,510.90","1,498.34","1,503.15"
05/11/2007,"1,505.85","1,506.24","1,491.47","1,505.85"
05/10/2007,"1,491.47","1,512.33","1,491.42","1,491.47"
05/09/2007,"1,512.58","1,513.80","1,503.77","1,512.58"
05/08/2007,"1,507.72","1,509.36","1,500.66","1,507.72"
05/07/2007,"1,509.48","1,511.00","1,505.54","1,509.48"
05/04/2007,"1,505.62","1,510.34","1,501.80","1,505.62"
05/03/2007,"1,502.39","1,503.34","1,495.56","1,502.39"
05/02/2007,"1,495.92","1,499.10","1,486.13","1,495.92"
05/01/2007,"1,486.30","1,487.27","1,476.70","1,486.30"
04/30/2007,"1,482.37","1,497.16","1,482.29","1,482.37"
04/27/2007,"1,494.07","1,497.32","1,488.67","1,494.07"
04/26/2007,"1,494.25","1,498.02","1,491.17","1,494.25"
04/25/2007,"1,495.42","1,496.59","1,480.28","1,495.42"
04/24/2007,"1,480.41","1,483.82","1,473.74","1,480.41"
04/23/2007,"1,480.93","1,487.32","1,480.19","1,480.93"
04/20/2007,"1,484.35","1,484.74","1,470.69","1,484.35"
04/19/2007,"1,470.73","1,474.23","1,464.47","1,470.73"
